word;type;score
abbau;NN;-0.058
abbaue;NN;-0.058
abbauen;NN;-0.058
abbauen;VVINF;-0.0578
abbaues;NN;-0.058
abbaus;NN;-0.058
abbrechen;VVINF;-0.3482
abbruch;NN;-0.0048
abbrüche;NN;-0.0048
abbrüchen;NN;-0.0048
abbruches;NN;-0.0048
abbruchs;NN;-0.0048
abdämpfen;VVINF;-0.0048
abdämpfung;NN;-0.0048
abdämpfungen;NN;-0.0048
abdank;VVINF;-0.0048
abdanke;VVINF;-0.0048
abdanken;VVINF;-0.0048
abdankest;VVINF;-0.0048
abdanket;VVINF;-0.0048
abdankst;VVINF;-0.0048
abdankt;VVINF;-0.0048
abdankte;VVINF;-0.0048
abdankten;VVINF;-0.0048
abdanktest;VVINF;-0.0048
abdanktet;VVINF;-0.0048
abdankung;NN;-0.0048
abdankungen;NN;-0.0048
abfall;NN;-0.0048
abfälle;NN;-0.0048
abfallen;VVINF;-0.0048
abfällen;NN;-0.0048
abfalles;NN;-0.0048
abfällig;ADJX;-0.3197
abfällige;ADJX;-0.3197
abfälligem;ADJX;-0.3197
abfälligen;ADJX;-0.3197
abfälliger;ADJX;-0.3197
abfälligere;ADJX;-0.3197
abfälligerem;ADJX;-0.3197
abfälligeren;ADJX;-0.3197
abfälligerer;ADJX;-0.3197
abfälligeres;ADJX;-0.3197
abfälliges;ADJX;-0.3197
abfälligst;ADJX;-0.3197
abfälligste;ADJX;-0.3197
abfälligstem;ADJX;-0.3197
abfälligsten;ADJX;-0.3197
abfälligster;ADJX;-0.3197
abfälligstes;ADJX;-0.3197
abfalls;NN;-0.0048
abfuhr;NN;-0.3367
abführ;VVINF;-0.3358
abführe;VVINF;-0.3358
abfuhren;NN;-0.3367
abführen;VVINF;-0.3358
abführest;VVINF;-0.3358
abführet;VVINF;-0.3358
abführst;VVINF;-0.3358
abführt;VVINF;-0.3358
abführte;VVINF;-0.3358
abführten;VVINF;-0.3358
abführtest;VVINF;-0.3358
abführtet;VVINF;-0.3358
abgebrochen;ADJX;-0.0048
abgedankt;VVINF;-0.0048
abgedroschen;ADJX;-0.1839
abgedroschene;ADJX;-0.1839
abgedroschenem;ADJX;-0.1839
abgedroschenen;ADJX;-0.1839
abgedroschener;ADJX;-0.1839
abgedroschenere;ADJX;-0.1839
abgedroschenerem;ADJX;-0.1839
abgedroscheneren;ADJX;-0.1839
abgedroschenerer;ADJX;-0.1839
abgedroscheneres;ADJX;-0.1839
abgedroschenes;ADJX;-0.1839
abgedroschenst;ADJX;-0.1839
abgedroschenste;ADJX;-0.1839
abgedroschenstem;ADJX;-0.1839
abgedroschensten;ADJX;-0.1839
abgedroschenster;ADJX;-0.1839
abgedroschenstes;ADJX;-0.1839
abgedroschner;ADJX;-0.1839
abgedroschnere;ADJX;-0.1839
abgedroschnerem;ADJX;-0.1839
abgedroschneren;ADJX;-0.1839
abgedroschnerer;ADJX;-0.1839
abgedroschneres;ADJX;-0.1839
abgeführt;VVINF;-0.3358
abgelehnt;VVINF;-0.6458
abgelenkt;VVINF;-0.042
abgemacht;VVINF;0.004
abgenutzt;VVINF;-0.0417
abgeschreckt;VVINF;-0.178
abgeschwächt;VVINF;-0.0048
abgesichert;ADJX;0.004
abgestanden;ADJX;-0.0368
abgestandene;ADJX;-0.0368
abgestandenem;ADJX;-0.0368
abgestandenen;ADJX;-0.0368
abgestandener;ADJX;-0.0368
abgestandenere;ADJX;-0.0368
abgestandenerem;ADJX;-0.0368
abgestandeneren;ADJX;-0.0368
abgestandenerer;ADJX;-0.0368
abgestandeneres;ADJX;-0.0368
abgestandenes;ADJX;-0.0368
abgestandenst;ADJX;-0.0368
abgestandenste;ADJX;-0.0368
abgestandenstem;ADJX;-0.0368
abgestandensten;ADJX;-0.0368
abgestandenster;ADJX;-0.0368
abgestandenstes;ADJX;-0.0368
abgestandner;ADJX;-0.0368
abgestandnere;ADJX;-0.0368
abgestandnerem;ADJX;-0.0368
abgestandneren;ADJX;-0.0368
abgestandnerer;ADJX;-0.0368
abgestandneres;ADJX;-0.0368
abgestimmt;VVINF;0.004
abgestumpft;VVINF;-0.0048
abgestürzt;VVINF;-0.4697
abgetakelt;ADJX;-0.0048
abgetakelte;ADJX;-0.0048
abgetakeltem;ADJX;-0.0048
abgetakelten;ADJX;-0.0048
abgetakelter;ADJX;-0.0048
abgetakeltere;ADJX;-0.0048
abgetakelterem;ADJX;-0.0048
abgetakelteren;ADJX;-0.0048
abgetakelterer;ADJX;-0.0048
abgetakelteres;ADJX;-0.0048
abgetakeltes;ADJX;-0.0048
abgetakeltst;ADJX;-0.0048
abgetakeltste;ADJX;-0.0048
abgetakeltstem;ADJX;-0.0048
abgetakeltsten;ADJX;-0.0048
abgetakeltster;ADJX;-0.0048
abgetakeltstes;ADJX;-0.0048
abgewertet;VVINF;-0.4521
abgleiten;VVINF;-0.0397
abgrund;NN;-0.3465
abgründig;ADJX;-0.1719
abgründige;ADJX;-0.1719
abgründigem;ADJX;-0.1719
abgründigen;ADJX;-0.1719
abgründiger;ADJX;-0.1719
abgründigere;ADJX;-0.1719
abgründigerem;ADJX;-0.1719
abgründigeren;ADJX;-0.1719
abgründigerer;ADJX;-0.1719
abgründigeres;ADJX;-0.1719
abgründiges;ADJX;-0.1719
abgründigst;ADJX;-0.1719
abgründigste;ADJX;-0.1719
abgründigstem;ADJX;-0.1719
abgründigsten;ADJX;-0.1719
abgründigster;ADJX;-0.1719
abgründigstes;ADJX;-0.1719
abhängig;ADJX;-0.0048
abhängige;ADJX;-0.0048
abhängigem;ADJX;-0.0048
abhängigen;ADJX;-0.0048
abhängiger;ADJX;-0.0048
abhängigere;ADJX;-0.0048
abhängigerem;ADJX;-0.0048
abhängigeren;ADJX;-0.0048
abhängigerer;ADJX;-0.0048
abhängigeres;ADJX;-0.0048
abhängiges;ADJX;-0.0048
abhängigkeit;NN;-0.3653
abhängigkeiten;NN;-0.3653
abhängigst;ADJX;-0.0048
abhängigste;ADJX;-0.0048
abhängigstem;ADJX;-0.0048
abhängigsten;ADJX;-0.0048
abhängigster;ADJX;-0.0048
abhängigstes;ADJX;-0.0048
ablaufen;VVINF;-0.0048
ablehn;VVINF;-0.6458
ablehne;VVINF;-0.6458
ablehnen;VVINF;-0.6458
ablehnest;VVINF;-0.6458
ablehnet;VVINF;-0.6458
ablehnst;VVINF;-0.6458
ablehnt;VVINF;-0.6458
ablehnte;VVINF;-0.6458
ablehnten;VVINF;-0.6458
ablehntest;VVINF;-0.6458
ablehntet;VVINF;-0.6458
ablehnung;NN;-0.5118
ablehnungen;NN;-0.5118
ablenk;VVINF;-0.042
ablenke;VVINF;-0.042
ablenken;VVINF;-0.042
ablenkest;VVINF;-0.042
ablenket;VVINF;-0.042
ablenkst;VVINF;-0.042
ablenkt;VVINF;-0.042
ablenkte;VVINF;-0.042
ablenkten;VVINF;-0.042
ablenktest;VVINF;-0.042
ablenktet;VVINF;-0.042
ablenkung;NN;-0.0435
ablenkungen;NN;-0.0435
abmach;VVINF;0.004
abmache;VVINF;0.004
abmachen;VVINF;0.004
abmachest;VVINF;0.004
abmachet;VVINF;0.004
abmachst;VVINF;0.004
abmacht;VVINF;0.004
abmachte;VVINF;0.004
abmachten;VVINF;0.004
abmachtest;VVINF;0.004
abmachtet;VVINF;0.004
abmachung;NN;0.004
abmachungen;NN;0.004
abnahme;NN;-0.0048
abnahmen;NN;-0.0048
abnehmen;VVINF;-0.0292
abneigung;NN;-0.0048
abneigungen;NN;-0.0048
abnutz;VVINF;-0.0417
abnutze;VVINF;-0.0417
abnutzen;VVINF;-0.0417
abnutzest;VVINF;-0.0417
abnutzet;VVINF;-0.0417
abnutzt;VVINF;-0.0417
abnutzte;VVINF;-0.0417
abnutzten;VVINF;-0.0417
abnutztest;VVINF;-0.0417
abnutztet;VVINF;-0.0417
abnutzung;NN;-0.0048
abraten;VVINF;-0.3353
abreissen;VVINF;-0.3116
abriss;NN;-0.0048
abrisse;NN;-0.0048
abrissen;NN;-0.0048
abrisses;NN;-0.0048
abrisss;NN;-0.0048
abrupt;ADJX;-0.0048
abrupte;ADJX;-0.0048
abruptem;ADJX;-0.0048
abrupten;ADJX;-0.0048
abrupter;ADJX;-0.0048
abruptere;ADJX;-0.0048
abrupterem;ADJX;-0.0048
abrupteren;ADJX;-0.0048
abrupterer;ADJX;-0.0048
abrupteres;ADJX;-0.0048
abruptes;ADJX;-0.0048
abruptest;ADJX;-0.0048
abrupteste;ADJX;-0.0048
abruptestem;ADJX;-0.0048
abruptesten;ADJX;-0.0048
abruptester;ADJX;-0.0048
abruptestes;ADJX;-0.0048
abrutsch;NN;-0.0048
abrutsche;NN;-0.0048
abrutschen;NN;-0.0048
abrutschen;VVINF;-0.0048
abrutsches;NN;-0.0048
abrutschs;NN;-0.0048
abschaffen;VVINF;-0.0048
abschaffung;NN;-0.058
abschaffungen;NN;-0.058
abschätzig;ADJX;-0.0048
abschätzige;ADJX;-0.0048
abschätzigem;ADJX;-0.0048
abschätzigen;ADJX;-0.0048
abschätziger;ADJX;-0.0048
abschätzigere;ADJX;-0.0048
abschätzigerem;ADJX;-0.0048
abschätzigeren;ADJX;-0.0048
abschätzigerer;ADJX;-0.0048
abschätzigeres;ADJX;-0.0048
abschätziges;ADJX;-0.0048
abschätzigst;ADJX;-0.0048
abschätzigste;ADJX;-0.0048
abschätzigstem;ADJX;-0.0048
abschätzigsten;ADJX;-0.0048
abschätzigster;ADJX;-0.0048
abschätzigstes;ADJX;-0.0048
abschießen;VVINF;-0.0048
abschließen;VVINF;0.004
abschluß;NN;0.004
abschlüße;NN;0.004
abschlüßen;NN;0.004
abschlußes;NN;0.004
abschlußs;NN;0.004
abschreck;VVINF;-0.178
abschrecke;VVINF;-0.178
abschrecken;VVINF;-0.178
abschreckend;VVINF;-0.049
abschreckest;VVINF;-0.178
abschrecket;VVINF;-0.178
abschreckst;VVINF;-0.178
abschreckt;VVINF;-0.178
abschreckte;VVINF;-0.178
abschreckten;VVINF;-0.178
abschrecktest;VVINF;-0.178
abschrecktet;VVINF;-0.178
abschreckung;NN;-0.0048
abschreckungen;NN;-0.0048
abschreiben;VVINF;-0.1847
abschreibung;NN;-0.3345
abschreibungen;NN;-0.3345
abschuß;NN;-0.0048
abschwäch;VVINF;-0.0048
abschwäche;VVINF;-0.0048
abschwächen;VVINF;-0.0048
abschwächest;VVINF;-0.0048
abschwächet;VVINF;-0.0048
abschwächst;VVINF;-0.0048
abschwächt;VVINF;-0.0048
abschwächte;VVINF;-0.0048
abschwächten;VVINF;-0.0048
abschwächtest;VVINF;-0.0048
abschwächtet;VVINF;-0.0048
abschwächung;NN;-0.1935
abschwächungen;NN;-0.1935
absenken;VVINF;-0.0048
absenkung;NN;-0.3434
absenkungen;NN;-0.3434
absinken;VVINF;-0.3269
absolut;ADJX;0.2418
absolute;ADJX;0.2418
absolutem;ADJX;0.2418
absoluten;ADJX;0.2418
absoluter;ADJX;0.2418
absolutere;ADJX;0.2418
absoluterem;ADJX;0.2418
absoluteren;ADJX;0.2418
absoluterer;ADJX;0.2418
absoluteres;ADJX;0.2418
absolutes;ADJX;0.2418
absolutest;ADJX;0.2418
absoluteste;ADJX;0.2418
absolutestem;ADJX;0.2418
absolutesten;ADJX;0.2418
absolutester;ADJX;0.2418
absolutestes;ADJX;0.2418
abspalten;VVINF;-0.3099
abspaltung;NN;-0.0048
abspaltungen;NN;-0.0048
absperren;VVINF;-0.0048
absperrung;NN;-0.0048
absperrungen;NN;-0.0048
absteigen;VVINF;-0.4776
abstieg;NN;-0.3215
abstiege;NN;-0.3215
abstiegen;NN;-0.3215
abstieges;NN;-0.3215
abstiegs;NN;-0.3215
abstimm;VVINF;0.004
abstimme;VVINF;0.004
abstimmen;VVINF;0.004
abstimmest;VVINF;0.004
abstimmet;VVINF;0.004
abstimmst;VVINF;0.004
abstimmt;VVINF;0.004
abstimmte;VVINF;0.004
abstimmten;VVINF;0.004
abstimmtest;VVINF;0.004
abstimmtet;VVINF;0.004
abstimmung;NN;0.004
abstimmungen;NN;0.004
abstoß;NN;-0.0048
abstöße;NN;-0.0048
abstoßen;VVINF;-0.1796
abstößen;NN;-0.0048
abstoßend;ADJX;-0.5859
abstoßende;ADJX;-0.5859
abstoßendem;ADJX;-0.5859
abstoßenden;ADJX;-0.5859
abstoßender;ADJX;-0.5859
abstoßendere;ADJX;-0.5859
abstoßenderem;ADJX;-0.5859
abstoßenderen;ADJX;-0.5859
abstoßenderer;ADJX;-0.5859
abstoßenderes;ADJX;-0.5859
abstoßendes;ADJX;-0.5859
abstoßendst;ADJX;-0.5859
abstoßendste;ADJX;-0.5859
abstoßendstem;ADJX;-0.5859
abstoßendsten;ADJX;-0.5859
abstoßendster;ADJX;-0.5859
abstoßendstes;ADJX;-0.5859
abstoßes;NN;-0.0048
abstoßs;NN;-0.0048
abstrich;NN;-0.3201
abstriche;NN;-0.3201
abstrichen;NN;-0.3201
abstriches;NN;-0.3201
abstrichs;NN;-0.3201
abstumpf;VVINF;-0.0048
abstumpfe;VVINF;-0.0048
